LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 56.40399556048835, 14.320088790233074, 25.33616616457904, 8.972283483340288, 4.484270734032412, 256.0,
1, 26.900415493901622, 7.136844926953492, 27.792521109770806, 9.570549806876162, 1.9523355576739752, 256.0,
2, 128.89386846750057, 33.94735630419768, 14.79303200061392, 9.570549806876162, 8.787604290822408, 256.0,
3, 26.900415493901622, 28.547379707813967, 108.49376759147567, 9.570549806876162, 7.809342230695901, 256.0,
4, 26.900415493901622, 28.547379707813967, 108.49376759147567, 9.570549806876162, 7.809342230695901, 256.0,
5, 80.62830169729838, 21.391182082956714, 20.825549864416992, 9.815936518028538, 7.809342230695901, 256.0,
6, 128.89386846750057, 33.94735630419768, 14.79303200061392, 9.570549806876162, 8.787604290822408, 256.0,
7, 26.900415493901622, 28.547379707813967, 108.49376759147567, 9.570549806876162, 7.809342230695901, 256.0,
8, 80.62830169729838, 21.391182082956714, 20.825549864416992, 9.815936518028538, 7.809342230695901, 256.0,
9, 128.89386846750057, 33.94735630419768, 14.79303200061392, 9.570549806876162, 8.787604290822408, 256.0,
10, 26.900415493901622, 28.547379707813967, 108.49376759147567, 9.570549806876162, 7.809342230695901, 256.0,
11, 70.2892588965067, 42.79203395364022, 35.81325497877897, 9.570549806876162, 7.8112038140643625, 255.6959619952494,
12, 156.21905717151455, 88.73981945837512, 17.66579739217653, 9.570093457943925, 8.78917565714967, 256.0,
13, 39.33058984910837, 51.3705663335293, 79.46384479717813, 9.570093457943925, 7.812134938610084, 256.0,
14, 70.2777868451118, 85.57009955932757, 70.94630324791905, 9.570549806876162, 8.928610354223434, 256.0,
15, 98.2158062148275, 64.14093467090775, 25.05505260582334, 9.570549806876162, 7.812134938610084, 256.0,
16, 156.21905717151455, 88.73981945837512, 17.66579739217653, 9.570093457943925, 8.78917565714967, 256.0,
17, 39.33058984910837, 51.3705663335293, 79.46384479717813, 9.570093457943925, 7.812134938610084, 256.0,
18, 98.2158062148275, 64.14093467090775, 25.05505260582334, 9.570549806876162, 7.812134938610084, 256.0,
19, 156.21905717151455, 88.73981945837512, 17.66579739217653, 9.570093457943925, 8.78917565714967, 256.0,
20, 39.33058984910837, 51.3705663335293, 79.46384479717813, 9.570093457943925, 7.812134938610084, 256.0,
21, 98.2158062148275, 64.14093467090775, 25.05505260582334, 9.570549806876162, 7.812134938610084, 256.0,
22, 156.21905717151455, 88.73981945837512, 17.66579739217653, 9.570093457943925, 8.78917565714967, 256.0,
23, 39.33058984910837, 51.3705663335293, 79.46384479717813, 9.570093457943925, 7.812134938610084, 256.0,
24, 112.83055827619981, 128.37610186092067, 56.916748285994125, 9.570093457943925, 8.928610354223434, 256.0,
25, 117.94383220760754, 209.67792392463562, 13.286882332029862, 7.974570883661793, 9.698500394632992, 256.0,
26, 65.52530199151158, 85.58406790728044, 66.19392752203721, 7.974570883661793, 9.615376150827128, 256.0,
27, 112.74773672620503, 128.2818693418155, 56.874969415218985, 9.570093457943925, 9.615552498853736, 256.0,
28, 130.92237442922374, 171.0006523157208, 33.064579256360076, 9.570549806876162, 9.615376150827128, 256.0,
29, 117.94383220760754, 209.67792392463562, 13.286882332029862, 7.974570883661793, 9.698500394632992, 256.0,
30, 65.52530199151158, 85.58406790728044, 66.19392752203721, 7.974570883661793, 9.615376150827128, 256.0,
31, 130.92237442922374, 171.0006523157208, 33.064579256360076, 9.570549806876162, 9.615376150827128, 256.0,
32, 117.94383220760754, 209.67792392463562, 13.286882332029862, 7.974570883661793, 9.698500394632992, 256.0,
33, 65.52530199151158, 85.58406790728044, 66.19392752203721, 7.974570883661793, 9.615376150827128, 256.0,
34, 130.92237442922374, 171.0006523157208, 33.064579256360076, 9.570549806876162, 9.615376150827128, 256.0,
35, 117.94383220760754, 209.67792392463562, 13.286882332029862, 7.974570883661793, 9.698500394632992, 256.0,
36, 65.52530199151158, 85.58406790728044, 66.19392752203721, 7.974570883661793, 9.615376150827128, 256.0,
37, 130.92237442922374, 171.0006523157208, 33.064579256360076, 9.570549806876162, 9.615376150827128, 256.0,
38, 117.94383220760754, 209.67792392463562, 13.286882332029862, 7.974570883661793, 9.698500394632992, 256.0,
39, 65.52530199151158, 85.58406790728044, 66.19392752203721, 7.974570883661793, 9.615376150827128, 256.0,
40, 130.92237442922374, 171.0006523157208, 33.064579256360076, 9.570549806876162, 9.615376150827128, 256.0,
41, 117.94383220760754, 209.67792392463562, 13.286882332029862, 7.974570883661793, 9.698500394632992, 256.0,
42, 65.52530199151158, 85.58406790728044, 66.19392752203721, 7.974570883661793, 9.615376150827128, 256.0,
43, 136.45612050794304, 242.58865868078763, 3.8430929001079637, 9.570549806876162, 38.71569930586324, 256.0,
44, 98.28795298726739, 18.05288932419197, 7.412340842311459, 9.570093457943925, 8.785510009532889, 252.0,
45, 98.28795298726739, 9.026444662095985, 3.9569049951028403, 9.570093457943925, 4.392755004766444, 252.0,
